NAME,state,place,cluster_gmm,cluster_kmeans,GMM_p_k0,GMM_p_k1,GMM_p_k2,GMM_p_k3,GMM_p_k4,GMM_p_k5,GMM_p_k6,GMM_p_k7
"Santa Maria city, California",6,69196,6,1,0.0,2.482954685151216e-99,4.2582012835192193e-10,0.0,1.6309718696722837e-48,9.197580468628178e-162,0.9999999995741806,8.358601365418641e-27
"Santa Monica city, California",6,70000,3,6,0.0,0.0017419729171507332,8.682344254681162e-09,0.9982580184003752,1.3002022442624517e-13,0.0,6.764933173471093e-54,9.549523729997184e-65
"Santa Rosa city, California",6,70098,2,0,0.0,7.726844337111237e-05,0.998310322577101,0.0,0.0016124089795270303,1.3962675579612293e-142,4.1867815380785545e-36,6.549283191618318e-16
"Simi Valley city, California",6,72016,1,0,0.0,0.9741640920398282,0.025835907942720074,0.0,1.7451914914205882e-11,4.12673874144653e-241,7.759924276980683e-104,1.3159829641243215e-59
"South Gate city, California",6,73080,3,1,0.0,3.6116953834485287e-53,0.016283976789676927,0.98371602320494,5.6308280584466794e-33,3.575325635411679e-251,5.382771167097692e-12,5.876791965814526e-27
"Stockton city, California",6,75000,2,1,0.0,3.8340201639364814e-22,0.9999999929864991,0.0,3.217582686313525e-09,1.460675220667678e-141,2.6482047134374168e-14,3.7958915674593945e-09
"Sunnyvale city, California",6,77000,1,6,0.0,0.9999939971858478,6.131920280204508e-19,6.00281415284578e-06,7.581128534307985e-37,0.0,1.3776102921556863e-166,1.1287396181737817e-166
"Temecula city, California",6,78120,3,0,0.0,2.3224001553507407e-05,0.00154004637752649,0.99843672961805,2.8695976800825904e-12,1.48414732125812e-133,3.95219655438333e-84,1.2251583669012127e-42
"Thousand Oaks city, California",6,78582,1,6,0.0,0.9999901975896309,9.80225944859967e-06,0.0,1.5092012752993934e-10,0.0,1.9384605453540103e-117,6.702024436503796e-75
"Torrance city, California",6,80000,1,0,0.0,0.9039781981745753,0.04958264587739539,0.0,0.04643915594802934,1.0853369690307226e-108,4.688625264564279e-34,7.903952400440161e-32
"Tracy city, California",6,80238,2,0,0.0,5.451921375788037e-09,0.9999999945399942,0.0,8.084651150730455e-12,8.694461427958114e-188,1.560036446205855e-84,4.313399936354556e-44
"Tulare city, California",6,80644,3,1,0.0,1.0483927749389795e-42,8.32344290248681e-07,0.9999991676557105,1.866647581401516e-18,2.337984495017657e-128,1.5006455152183887e-17,1.993059717576337e-21
"Turlock city, California",6,80812,3,1,0.0,3.336799151800022e-17,0.0009303398000130615,0.9990696599622872,2.8699378585297307e-13,5.763502660590258e-78,4.431017909810172e-28,2.374129935577156e-10
"Tustin city, California",6,80854,3,6,0.0,6.290066195890194e-05,0.0012655653898704055,0.9986715191370141,1.4811156610450509e-08,2.9796707750013886e-213,7.370562395023093e-42,1.3966065302963109e-36
